id,street,street_number,city,postal_code,lat,lon,name
606,Heckenweg,4,Regensburg,93049,49.01439926252294,12.044049874992682,GEFA Gesellschaft für Wohnbau + Vermögensverwaltung mbH
607,Roter-Brach-Weg,124,Regensburg,93049,49.0177510333771,12.052610016682348,Mark Woodbridge GmbH
608,Franz-von-Taxis-Ring,4,Regensburg,93049,49.01727400002922,12.052729649984425,RVH GmbH
609,Kornweg,17,Regensburg,93049,49.01738237500948,12.039601999994831,Numera GmbH Steuerberatungsgesellschaft Wirtschaftsprüfungsgesellschaft
610,Oberfeldweg,11,Regensburg,93049,49.015003280027855,12.041586200004584,Softwaregilde GmbH
611,Rennweg,27 a,Regensburg,93049,49.012562350011954,12.042601924996603,B+S GreenPower GmbH
612,Benediktusweg,12,Regensburg,93049,49.01560087143462,12.0377345571439,Prof. Dr. Josef Scherer ius GmbH
613,Kornweg,36,Regensburg,93049,49.01647938002674,12.03840424002086,E.W. Händler Beteiligungsgesellschaft mbH
614,Kornweg,36,Regensburg,93049,49.01647938002674,12.03840424002086,Mars Real Estate GmbH + Co. KG
615,Kornweg,36,Regensburg,93049,49.01647938002674,12.03840424002086,MERKUR Produkt GmbH + Co. Service KG
616,Kornweg,36,Regensburg,93049,49.01647938002674,12.03840424002086,MERKUR Produkt GmbH
617,Kornweg,36,Regensburg,93049,49.01647938002674,12.03840424002086,Mars Immobilien GmbH
618,Kornweg,36,Regensburg,93049,49.01647938002674,12.03840424002086,Jupiter-NET GmbH + Co. KG
619,Kornweg,36,Regensburg,93049,49.01647938002674,12.03840424002086,Vulkan Immobilien GmbH
620,Kornweg,36,Regensburg,93049,49.01647938002674,12.03840424002086,Vulkan Immobilien GmbH + Co. Grundstücksverwertungs KG
621,Kornweg,36,Regensburg,93049,49.01647938002674,12.03840424002086,E.W. Händler GmbH + Co. Grundstücksverwertungs-KG
622,Kornweg,40,Regensburg,93049,49.0162551600473,12.038321779955949,Aiolos GmbH + Co. KG
623,Kornweg,40,Regensburg,93049,49.0162551600473,12.038321779955949,Aiolos Verwaltungs GmbH
624,Rennweg,59,Regensburg,93049,49.01249826004077,12.03785785999961,motion events GmbH
625,Rennweg,65,Regensburg,93049,49.012875200017554,12.037568839985726,Abdichtungsprofi GmbH
626,An der Brunnstube,4,Regensburg,93051,49.01004245008342,12.055375450049771,Renate Reissermayer-Wolf Grundstücks GmbH + Co. KG
627,Johann-Igl-Weg,11,Regensburg,93051,49.01084552500633,12.052634600001156,Chips 4 Light GmbH
628,An der Klosterbreite,12,Regensburg,93051,49.01000750001677,12.05002029999883,Kromo Design UG (haftungsbeschränkt)
629,An der Klosterbreite,18,Regensburg,93051,49.010291000016494,12.050214500000028,dessertweine.de Dr. Carola Seitz e.K.
630,An der Klosterbreite,19,Regensburg,93051,49.00933630001659,12.050318274999247,HMC Bautenschutz GmbH + Co. KG
631,An der Klosterbreite,19,Regensburg,93051,49.00933630001659,12.050318274999247,HMC-Solutions GmbH + Co. KG
632,An der Klosterbreite,19,Regensburg,93051,49.00933630001659,12.050318274999247,Rupp GmbH
633,An der Klosterbreite,19,Regensburg,93051,49.00933630001659,12.050318274999247,HMC-Management Consulting GmbH + Co. KG
634,Haidschlagweg,1,Regensburg,93051,49.00579875717293,12.05883632858776,Herzflut-Fine Fashion GmbH + Co. KG
635,Haidschlagweg,1,Regensburg,93051,49.00579875717293,12.05883632858776,Herzflut-Fine Fashion Verwaltungs-GmbH
636,Westheim,22,Regensburg,93049,49.02604373336948,12.058674100021578,Windpower Beteiligungs-GmbH + Co. KG
637,Westheim,22,Regensburg,93049,49.02604373336948,12.058674100021578,Windpower GmbH + Co. Berching 3 KG
638,Westheim,22,Regensburg,93049,49.02604373336948,12.058674100021578,Windpower GmbH + Co. Berching 2 KG
639,Westheim,22,Regensburg,93049,49.02604373336948,12.058674100021578,Windpower GmbH + Co. Berching 1 KG
