id,street,street_number,city,postal_code,lat,lon
7754,Turlweg,6,Lappersdorf,93138,49.07091976670504,12.052843733359513
7755,Harreshofer Weg,7,Lappersdorf,93138,49.07128780002815,12.052188574995144
7756,Einhauser Straße,17,Lappersdorf,93138,49.07112932501784,12.054295524997707
7757,Einhauser Straße,12,Lappersdorf,93138,49.07206370005402,12.05342218337775
7758,Harreshofer Weg,13,Lappersdorf,93138,49.070780200028246,12.051942999997603
7759,Turlweg,2,Lappersdorf,93138,49.07143052502583,12.052764799997847
7760,Harreshofer Weg,11,Lappersdorf,93138,49.07094985002408,12.051971724995242
7761,Rainweg,2,Lappersdorf,93138,49.07012185006897,12.053438800063592
7762,Turlweg,21,Lappersdorf,93138,49.07011060002771,12.052533387523692
7763,Einhauser Straße,14,Lappersdorf,93138,49.07183983335345,12.053663866685286
7764,Ringstraße,4,Lappersdorf,93138,49.07211585005003,12.055667899950311
7765,Turlweg,4,Lappersdorf,93138,49.07119762502359,12.052794049998946
7766,Auweg,5,Lappersdorf,93138,49.07187571669504,12.054837449980504
7767,Turlweg,8,Lappersdorf,93138,49.07067950005023,12.052540099990935
7768,Einhauser Straße,19,Lappersdorf,93138,49.07088960001343,12.054262079988316
7769,Turlweg,11,Lappersdorf,93138,49.07062342859044,12.05320049995989
7770,Einhauser Straße,23,Lappersdorf,93138,49.07043282502416,12.0543369124771
7771,Einhauser Straße,18,Lappersdorf,93138,49.071261920022,12.053835559998582
7772,Rainweg,12,Lappersdorf,93138,49.069487550066,12.052770499904131
7773,Einhauser Straße,20,Lappersdorf,93138,49.07096342505461,12.053800550003038
7774,Rainweg,7,Lappersdorf,93138,49.06955095003294,12.053519199968449
7775,Einhauser Straße,24,Lappersdorf,93138,49.07046257504826,12.053691174999098
7776,Rainweg,9,Lappersdorf,93138,49.06939730002335,12.053319649980802
7777,Einhauser Straße,11,Lappersdorf,93138,49.07213385003446,12.05382295002771
7778,Einhauser Straße,22,Lappersdorf,93138,49.07067090004953,12.053690624998817
7779,Rainweg,3,Lappersdorf,93138,49.06990250003536,12.053937349965553
7780,Rainweg,11,Lappersdorf,93138,49.06922665003868,12.053146749978504
7781,Rainweg,5,Lappersdorf,93138,49.06973305003746,12.053732449949743
7782,Auweg,3,Lappersdorf,93138,49.071899725052745,12.054465462509954
7783,Ringstraße,18,Lappersdorf,93138,49.07062039002916,12.054736939975063
7784,Turlweg,15,Lappersdorf,93138,49.06996497502405,12.05287004999442
7785,Einhauser Straße,21,Lappersdorf,93138,49.07063255001409,12.054231199999256
7786,Ringstraße,8,Lappersdorf,93138,49.07185975003962,12.055157375000126
7787,Turlweg,7,Lappersdorf,93138,49.07121925004134,12.053258424996448
7788,Einhauser Straße,16,Lappersdorf,93138,49.07154235838912,12.053648816699546
7789,Harreshofer Weg,1,Lappersdorf,93138,49.07181404003556,12.052624859985526
7790,Ringstraße,6,Lappersdorf,93138,49.07193420004421,12.055444199973955
7791,Lorenzer Straße,10,Lappersdorf,93138,49.07232583339043,12.05525518331605
7792,Turlweg,27,Lappersdorf,93138,49.07013710008328,12.05155355005922
7793,Turlweg,13,Lappersdorf,93138,49.07027933335551,12.052960433339395
7794,Ringstraße,2,Lappersdorf,93138,49.07224760004115,12.05602787498412
7795,Einhauser Straße,13,Lappersdorf,93138,49.07157745002173,12.05427169999876
7796,Harreshofer Weg,5,Lappersdorf,93138,49.07144965003511,12.052322250000254
7797,Turlweg,10,Lappersdorf,93138,49.07050197505321,12.052150075000313
7798,Harreshofer Weg,3,Lappersdorf,93138,49.07161275002613,12.052433649998642
7799,Turlweg,5,Lappersdorf,93138,49.071457200034594,12.053197474997267
7800,Turlweg,12,Lappersdorf,93138,49.07047432506511,12.05179745000268
7801,Turlweg,19,Lappersdorf,93138,49.06999250002984,12.052397225004428
7802,Auweg,1,Lappersdorf,93138,49.07190595003136,12.054156287487986
7803,Turlweg,23,Lappersdorf,93138,49.07032135004752,12.052583699995475
7804,Turlweg,9,Lappersdorf,93138,49.07095980004535,12.053308400001844
